--- Installed packages inside container: ---
Package                            Version
---------------------------------- -------
grpcio                             1.74.0
grpcio-health-checking             1.74.0
grpcio-tools                       1.74.0
importlib_metadata                 8.7.0
opentelemetry-api                  1.36.0
opentelemetry-exporter-prometheus  0.57b0
opentelemetry-instrumentation      0.57b0
opentelemetry-instrumentation-grpc 0.57b0
opentelemetry-sdk                  1.36.0
opentelemetry-semantic-conventions 0.57b0
packaging                          25.0
pip                                23.0.1
prometheus_client                  0.22.1
protobuf                           6.31.1
setuptools                         58.1.0
typing_extensions                  4.14.1
wheel                              0.45.1
wrapt                              1.17.2
zipp                               3.23.0

[notice] A new release of pip is available: 23.0.1 -> 25.2
[notice] To update, run: pip install --upgrade pip
--- Starting server ---
2025-07-31 14:25:58,606 - root - INFO - Prometheus metrics server started on port 9464.
2025-07-31 14:25:58,618 - root - INFO - gRPC server started on port 50051 with max_connection_age=600000ms, grace=60000ms.
2025-07-31 14:41:05,199 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 2.0
2025-07-31 14:41:05,200 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 2.0
2025-07-31 14:41:05,203 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 5.0
2025-07-31 14:41:05,204 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 5.0
2025-07-31 14:41:05,204 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 5.0
2025-07-31 14:41:05,205 - root - INFO - [Client: grpc-client-vm-1, Channel: 2] Stream opened. Active streams: 6.0
2025-07-31 14:41:05,206 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 8.0
2025-07-31 14:41:05,207 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 9.0
2025-07-31 14:41:05,207 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 9.0
2025-07-31 14:41:05,208 - root - INFO - [Client: grpc-client-vm-1, Channel: 2] Stream opened. Active streams: 11.0
2025-07-31 14:41:05,208 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 11.0
2025-07-31 14:41:05,209 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 13.0
2025-07-31 14:41:05,210 - root - INFO - [Client: grpc-client-vm-1, Channel: 2] Stream opened. Active streams: 13.0
2025-07-31 14:41:05,210 - root - INFO - [Client: grpc-client-vm-1, Channel: 2] Stream opened. Active streams: 15.0
2025-07-31 14:41:05,211 - root - INFO - [Client: grpc-client-vm-1, Channel: 2] Stream opened. Active streams: 15.0
2025-07-31 14:41:05,212 - root - INFO - [Client: grpc-client-vm-1, Channel: 2] Stream opened. Active streams: 17.0
2025-07-31 14:41:05,212 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 17.0
2025-07-31 14:41:05,213 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 19.0
2025-07-31 14:41:05,213 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 19.0
2025-07-31 14:41:05,214 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 22.0
2025-07-31 14:41:05,214 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 22.0
2025-07-31 14:41:05,215 - root - INFO - [Client: grpc-client-vm-1, Channel: 2] Stream opened. Active streams: 22.0
2025-07-31 14:41:05,215 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 23.0
2025-07-31 14:41:05,216 - root - INFO - [Client: grpc-client-vm-1, Channel: 2] Stream opened. Active streams: 25.0
2025-07-31 14:41:05,216 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 25.0
2025-07-31 14:41:05,217 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 27.0
2025-07-31 14:41:05,217 - root - INFO - [Client: grpc-client-vm-1, Channel: 2] Stream opened. Active streams: 27.0
2025-07-31 14:41:05,218 - root - INFO - [Client: grpc-client-vm-1, Channel: 1] Stream opened. Active streams: 29.0
2025-07-31 14:41:05,218 - root - INFO - [Client: grpc-client-vm-1, Channel: 0] Stream opened. Active streams: 29.0
2025-07-31 14:41:05,219 - root - INFO - [Client: grpc-client-vm-1, Channel: 2] Stream opened. Active streams: 30.0
2025-07-31 14:42:41,856 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 32.0
2025-07-31 14:42:41,856 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 32.0
2025-07-31 14:42:41,858 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 34.0
2025-07-31 14:42:41,859 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 34.0
2025-07-31 14:42:41,860 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 36.0
2025-07-31 14:42:41,860 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 36.0
2025-07-31 14:42:41,861 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 38.0
2025-07-31 14:42:41,861 - root - INFO - [Client: grpc-client-vm-2, Channel: 1] Stream opened. Active streams: 38.0
2025-07-31 14:42:41,862 - root - INFO - [Client: grpc-client-vm-2, Channel: 1] Stream opened. Active streams: 40.0
2025-07-31 14:42:41,862 - root - INFO - [Client: grpc-client-vm-2, Channel: 1] Stream opened. Active streams: 40.0
2025-07-31 14:42:41,863 - root - INFO - [Client: grpc-client-vm-2, Channel: 1] Stream opened. Active streams: 42.0
2025-07-31 14:42:41,864 - root - INFO - [Client: grpc-client-vm-2, Channel: 1] Stream opened. Active streams: 42.0
2025-07-31 14:42:41,864 - root - INFO - [Client: grpc-client-vm-2, Channel: 1] Stream opened. Active streams: 44.0
2025-07-31 14:42:41,865 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 44.0
2025-07-31 14:42:41,865 - root - INFO - [Client: grpc-client-vm-2, Channel: 1] Stream opened. Active streams: 46.0
2025-07-31 14:42:41,866 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 47.0
2025-07-31 14:42:41,868 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 48.0
2025-07-31 14:42:41,868 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 48.0
2025-07-31 14:42:41,870 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 50.0
2025-07-31 14:42:41,870 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 51.0
2025-07-31 14:42:41,871 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 52.0
2025-07-31 14:42:41,871 - root - INFO - [Client: grpc-client-vm-2, Channel: 1] Stream opened. Active streams: 52.0
2025-07-31 14:42:41,872 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 54.0
2025-07-31 14:42:41,872 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 54.0
2025-07-31 14:42:41,873 - root - INFO - [Client: grpc-client-vm-2, Channel: 1] Stream opened. Active streams: 56.0
2025-07-31 14:42:41,873 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 56.0
2025-07-31 14:42:41,874 - root - INFO - [Client: grpc-client-vm-2, Channel: 2] Stream opened. Active streams: 58.0
2025-07-31 14:42:41,874 - root - INFO - [Client: grpc-client-vm-2, Channel: 1] Stream opened. Active streams: 58.0
2025-07-31 14:42:41,875 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 60.0
2025-07-31 14:42:41,875 - root - INFO - [Client: grpc-client-vm-2, Channel: 0] Stream opened. Active streams: 60.0
2025-07-31 14:45:32,778 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream opened. Active streams: 61.0
2025-07-31 14:45:32,780 - root - INFO - [Client: grpc-client-vm-3, Channel: 2] Stream opened. Active streams: 63.0
2025-07-31 14:45:32,780 - root - INFO - [Client: grpc-client-vm-3, Channel: 2] Stream opened. Active streams: 63.0
2025-07-31 14:45:32,782 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 65.0
2025-07-31 14:45:32,783 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 67.0
2025-07-31 14:45:32,783 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 68.0
2025-07-31 14:45:32,783 - root - INFO - [Client: grpc-client-vm-3, Channel: 2] Stream opened. Active streams: 68.0
2025-07-31 14:45:32,784 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream opened. Active streams: 68.0
2025-07-31 14:45:32,784 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream opened. Active streams: 69.0
2025-07-31 14:45:32,786 - root - INFO - [Client: grpc-client-vm-3, Channel: 2] Stream opened. Active streams: 71.0
2025-07-31 14:45:32,786 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 71.0
2025-07-31 14:45:32,787 - root - INFO - [Client: grpc-client-vm-3, Channel: 1] Stream opened. Active streams: 73.0
2025-07-31 14:45:32,788 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 74.0
2025-07-31 14:45:32,788 - root - INFO - [Client: grpc-client-vm-3, Channel: 0] Stream opened. Active streams: 74.0
2025-07-31 14:45:32,789 - root - INFO - [Client: grpc-client-vm-3, Channel: 2] Stream opened. Active streams: 76.0
